rpm,rad/sec,Torque (lb*ft),Power (hp),Torque (Nm),Power (kW)
9800,1026.3,84.72488,158.0928835,114.871513,117.8873037
9900,1036.7,84.68372,159.6284897,114.8157075,119.0323804
10000,1047.2,84.62,161.1195735,114.7293148,120.1442575
10100,1057.7,84.53372,162.5648462,114.6123348,121.2219739
10200,1068.1,84.42488,163.963019,114.4647676,122.2645688
10300,1078.6,84.29348,165.3128035,114.2866131,123.2710812
10400,1089.1,84.13952,166.6129109,114.0778714,124.2405502
10500,1099.6,83.963,167.8620526,113.8385424,125.1720149
10600,1110.0,83.76392,169.0589398,113.5686262,126.0645144
10700,1120.5,83.54228,170.2022841,113.2681227,126.9170877
10800,1131.0,83.29808,171.2907966,112.9370319,127.7287739
10900,1141.4,83.03132,172.3231889,112.5753539,128.4986121
11000,1151.9,82.742,173.2981721,112.1830887,129.2256413
11100,1162.4,82.43012,174.2144577,111.7602362,129.9089006
11200,1172.9,82.09568,175.070757,111.3067964,130.5474292
11300,1183.3,81.73868,175.8657814,110.8227694,131.140266
11400,1193.8,81.35912,176.5982422,110.3081552,131.6864501
11500,1204.3,80.957,177.2668507,109.7629536,132.1850207
11600,1214.7,80.53232,177.8703184,109.1871649,132.6350167
11700,1225.2,80.08508,178.4073564,108.5807889,133.0354773
11800,1235.7,79.61528,178.8766763,107.9438256,133.3854416
11900,1246.2,79.12292,179.2769893,107.2762751,133.6839485
12000,1256.6,78.608,179.6070069,106.5781373,133.9300372
12100,1267.1,78.07052,179.8654402,105.8494122,134.1227468
12200,1277.6,77.51048,180.0510008,105.0901,134.2611163
12300,1288.1,76.92788,180.1623998,104.3002004,134.3441848
12400,1298.5,76.32272,180.1983488,103.4797136,134.3709913
12500,1309.0,75.695,180.157559,102.6286396,134.3405751
12600,1319.5,75.04472,180.0387418,101.7469783,134.251975
12700,1329.9,74.37188,179.8406085,100.8347298,134.1042302
12800,1340.4,73.67648,179.5618705,99.89189395,133.8963798
